,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_samples,param_max_leaf_nodes,param_max_features,param_max_depth,param_criterion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,9.017275142669678,0.34282587393035835,2.131701040267944,0.11203866918176422,100,5,5,0.8,1000,log2,,gini,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_samples': 0.8, 'max_leaf_nodes': 1000, 'max_features': 'log2', 'max_depth': None, 'criterion': 'gini'}",0.8750950859577058,0.8690095846645367,0.8761600486840103,0.8711395101171459,0.8758557736193519,0.8734520006085502,0.002859861892593147,2,0.9300167351285562,0.929864597596227,0.929978700745474,0.9299026319793093,0.9300928038947208,0.9299710938688575,8.121921688749983e-05
1,5.371257638931274,1.8323690432103763,4.459099531173706,1.3104445322325704,100,2,2,0.2,1000,sqrt,,gini,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_samples': 0.2, 'max_leaf_nodes': 1000, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'gini'}",0.8711395101171459,0.8607941579187586,0.8685531720675491,0.8652061463563061,0.8696181347938536,0.8670622242507227,0.0036908954150873885,6,0.9050281454434809,0.9055986611897155,0.906283280085197,0.9044956640803287,0.9054845580404686,0.9053780617678381,0.0005967399561069413
2,9.048133373260498,1.75873596412191,1.329533863067627,0.06269738741769054,200,10,10,0.2,100,sqrt,,entropy,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_samples': 0.2, 'max_leaf_nodes': 100, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'entropy'}",0.8495359805263959,0.836147877681424,0.8423855165069223,0.8443633044272022,0.8451239920888484,0.8435113342461585,0.0043614410341460816,10,0.8507530807850296,0.8534154876007911,0.8506389776357828,0.850677012018865,0.8502586338049597,0.8511486383690856,0.0011462429797426143
3,39.63063192367554,0.20225132113122113,2.162985849380493,0.11160578277709629,500,5,2,0.5,3000,log2,10,gini,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_samples': 0.5, 'max_leaf_nodes': 3000, 'max_features': 'log2', 'max_depth': 10, 'criterion': 'gini'}",0.86246767077438,0.8509052183173589,0.8589685075308079,0.8553172067549064,0.8575992697398448,0.8570515746234596,0.003849530542100317,7,0.8787844211166895,0.8805340027384756,0.8795451087783356,0.8797733150768294,0.8778715959227141,0.8793016887266087,0.0009069745054488854
4,126.79200506210327,0.4951512051883254,2.649908113479614,0.34852315036589887,500,5,10,0.8,1000,sqrt,20,entropy,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 10, 'max_samples': 0.8, 'max_leaf_nodes': 1000, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'entropy'}",0.8726608854404382,0.8627719458390385,0.8714437851818043,0.8653582838886353,0.8694659972615244,0.8683401795222881,0.0037273384934607247,5,0.9043054921649171,0.9054465236573863,0.9041153202495056,0.9038871139510117,0.9026700136923779,0.9040848927430398,0.0008882148235156315
5,84.57838115692138,2.955561536365602,2.5246837615966795,0.8210185709405623,500,2,5,0.8,3000,sqrt,20,gini,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_samples': 0.8, 'max_leaf_nodes': 3000, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'gini'}",0.877225011410315,0.8691617221968659,0.8788985242659364,0.872508747908109,0.8769207363456565,0.8749429484253766,0.0035808922245366952,1,0.9291799787007454,0.9305111821086262,0.9300547695116386,0.9296363912977331,0.9297504944469801,0.9298265632131446,0.00044290055159013823
6,11.488445377349853,1.1544006313376005,1.5104625701904297,0.10659501435939343,100,2,2,0.2,1000,log2,20,entropy,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_samples': 0.2, 'max_leaf_nodes': 1000, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'entropy'}",0.8709873725848166,0.8649018712916476,0.8694659972615244,0.8662711090826107,0.8709873725848166,0.8685227445610831,0.0024987634465416186,4,0.9069678989806785,0.9070059333637608,0.9063213144682793,0.9068918302145139,0.9055225924235509,0.9065419138901566,0.0005669037238364778
7,26.42168607711792,2.216464371276921,1.2191186428070069,0.3701967478950442,100,10,5,0.8,100,log2,20,entropy,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_samples': 0.8, 'max_leaf_nodes': 100, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'entropy'}",0.8480146052031036,0.838125665601704,0.8458846797504944,0.8454282671535067,0.8461889548151529,0.8447284345047923,0.0034162922424002544,9,0.8540620721131903,0.8552411379887418,0.8556595162026472,0.8548988285410011,0.8537197626654496,0.854716263502206,0.0007238133969490621
8,49.89115362167358,1.296482447260364,0.9307857036590577,0.3751398626536626,500,5,5,0.5,100,log2,,entropy,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_samples': 0.5, 'max_leaf_nodes': 100, 'max_features': 'log2', 'max_depth': None, 'criterion': 'entropy'}",0.848318880267762,0.84086414118363,0.8458846797504944,0.8472539175414575,0.8478624676707743,0.8460368172828236,0.002713000836775762,8,0.8552791723718242,0.8565723413966225,0.8564582382473757,0.8551650692225772,0.8547466910086718,0.8556443024494144,0.0007338172154638781
9,18.807752466201784,0.3061024740192248,1.164663600921631,0.31787212329086845,100,10,5,0.5,3000,log2,,entropy,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_samples': 0.5, 'max_leaf_nodes': 3000, 'max_features': 'log2', 'max_depth': None, 'criterion': 'entropy'}",0.8737258481667427,0.8680967594705614,0.8747908108930473,0.8693138597291952,0.8731172980374259,0.8718089152593944,0.0026185339995679485,3,0.9140803286170698,0.9153734976418683,0.9150311881941275,0.914841016278716,0.9132816065723414,0.9145215274608246,0.000750964791004707
